order_id,order_time,item_count,weather,zone_id,zone_name,rider_id,rider_name,distance_km,picking_minutes,delivery_minutes,is_peak,sla_met
1020,"2025-01-01 13:29:00",4,Normal,3,"Saibaba Colony",101,"Arun Kumar",5.49,6,12,0,1
1021,"2025-01-01 11:29:00",4,Normal,4,Peelamedu,107,Ramesh,2.6,3,10,0,1
1022,"2025-01-01 08:25:00",3,Normal,8,"Avinashi Road",108,Senthil,2.33,2,10,0,1
1023,"2025-01-01 19:23:00",1,Normal,2,"RS Puram",103,Karthikeyan,2.71,2,9,1,1
1024,"2025-01-01 14:15:00",1,Normal,7,Saravanampatti,101,"Arun Kumar",5.37,4,9,0,1
1025,"2025-01-01 11:27:00",3,Normal,3,"Saibaba Colony",102,Suresh,5.44,3,12,0,1
1026,"2025-01-01 21:04:00",7,Rain,2,"RS Puram",101,"Arun Kumar",3.02,3,9,1,1
1027,"2025-01-01 07:56:00",8,Normal,5,Ukkadam,101,"Arun Kumar",2.96,7,6,0,1
1028,"2025-01-01 20:56:00",8,Normal,3,"Saibaba Colony",109,Muthukumar,4.34,6,11,1,1
1029,"2025-01-01 20:42:00",4,Normal,6,Singanallur,107,Ramesh,4.32,3,13,1,1
1030,"2025-01-01 12:46:00",7,Normal,1,Gandhipuram,108,Senthil,4.04,6,11,0,1
1031,"2025-01-01 19:15:00",8,Normal,8,"Avinashi Road",109,Muthukumar,1.98,4,16,1,0
1032,"2025-01-01 17:40:00",6,Normal,8,"Avinashi Road",106,Manikandan,2.21,6,18,0,0
1033,"2025-01-01 19:35:00",5,Normal,7,Saravanampatti,108,Senthil,5.18,6,14,1,1
1034,"2025-01-01 19:14:00",2,Normal,8,"Avinashi Road",103,Karthikeyan,5.31,2,14,1,1
1035,"2025-01-01 09:27:00",7,Normal,6,Singanallur,106,Manikandan,3.15,6,9,0,1
1036,"2025-01-01 13:27:00",4,Normal,6,Singanallur,106,Manikandan,1.92,6,15,0,1
1037,"2025-01-01 22:23:00",4,Rain,3,"Saibaba Colony",105,Prakash,2.68,6,11,1,1
1038,"2025-01-01 20:46:00",7,Normal,3,"Saibaba Colony",106,Manikandan,5.42,6,11,1,1
1039,"2025-01-01 17:38:00",5,Rain,5,Ukkadam,104,Vignesh,4.11,4,13,0,1
1040,"2025-01-01 17:30:00",3,Normal,5,Ukkadam,104,Vignesh,3.25,3,10,0,1
1041,"2025-01-01 07:33:00",7,Normal,8,"Avinashi Road",107,Ramesh,2.97,6,9,0,1
1042,"2025-01-01 20:31:00",1,Normal,8,"Avinashi Road",101,"Arun Kumar",2.08,5,16,1,0
1043,"2025-01-01 11:26:00",1,Normal,6,Singanallur,108,Senthil,2.77,5,14,0,1
1044,"2025-01-01 08:17:00",2,Normal,3,"Saibaba Colony",103,Karthikeyan,5.7,2,6,0,1
1045,"2025-01-01 18:47:00",7,Normal,8,"Avinashi Road",102,Suresh,4.78,6,15,1,1
1046,"2025-01-01 21:30:00",6,Normal,7,Saravanampatti,106,Manikandan,4.14,4,8,1,1
1047,"2025-01-01 13:30:00",7,Rain,3,"Saibaba Colony",107,Ramesh,1.98,3,13,0,1
1048,"2025-01-01 06:35:00",7,Normal,2,"RS Puram",105,Prakash,2.4,6,6,0,1
1049,"2025-01-01 08:31:00",2,Rain,2,"RS Puram",109,Muthukumar,4.84,5,9,0,1
1050,"2025-01-01 19:34:00",3,Normal,4,Peelamedu,109,Muthukumar,4.43,2,13,1,1
1051,"2025-01-01 07:17:00",3,Normal,2,"RS Puram",106,Manikandan,5.71,2,6,0,1
1052,"2025-01-01 06:23:00",4,Normal,7,Saravanampatti,101,"Arun Kumar",1.33,5,7,0,1
1053,"2025-01-01 12:34:00",5,Normal,7,Saravanampatti,110,Naveen,3.05,6,15,0,1
1054,"2025-01-01 12:25:00",8,Normal,5,Ukkadam,107,Ramesh,3.6,6,11,0,1
1055,"2025-01-01 18:39:00",6,Normal,1,Gandhipuram,110,Naveen,5.28,6,10,1,1
1056,"2025-01-01 23:07:00",8,Normal,2,"RS Puram",103,Karthikeyan,5.09,7,5,0,1
1057,"2025-01-01 18:38:00",1,Normal,3,"Saibaba Colony",106,Manikandan,3.62,3,10,1,1
1058,"2025-01-01 13:16:00",7,Normal,7,Saravanampatti,110,Naveen,4.42,4,15,0,1
1059,"2025-01-01 08:04:00",2,Normal,7,Saravanampatti,102,Suresh,3.45,5,8,0,1
1060,"2025-01-01 09:00:00",2,Normal,6,Singanallur,101,"Arun Kumar",3.12,5,9,0,1
1061,"2025-01-01 07:38:00",7,Normal,5,Ukkadam,107,Ramesh,3.77,5,6,0,1
1062,"2025-01-01 06:22:00",4,Normal,8,"Avinashi Road",104,Vignesh,4.3,3,8,0,1
1063,"2025-01-01 08:56:00",3,Normal,7,Saravanampatti,105,Prakash,3.35,3,10,0,1
1064,"2025-01-01 10:48:00",2,Normal,1,Gandhipuram,103,Karthikeyan,1.9,2,7,0,1
1065,"2025-01-01 18:42:00",1,Normal,1,Gandhipuram,110,Naveen,2.41,3,9,1,1
1066,"2025-01-01 18:57:00",6,Normal,3,"Saibaba Colony",101,"Arun Kumar",4.05,4,13,1,1
1067,"2025-01-01 11:51:00",5,Normal,4,Peelamedu,107,Ramesh,4.24,6,12,0,1
1068,"2025-01-01 17:53:00",3,Normal,1,Gandhipuram,108,Senthil,4.34,3,11,0,1
1069,"2025-01-01 13:25:00",1,Normal,7,Saravanampatti,101,"Arun Kumar",3.68,5,15,0,1
1070,"2025-01-01 23:28:00",5,Rain,7,Saravanampatti,101,"Arun Kumar",3.97,3,12,0,1
1071,"2025-01-01 13:05:00",6,Normal,2,"RS Puram",104,Vignesh,3.88,6,11,0,1
1072,"2025-01-01 08:26:00",6,Normal,8,"Avinashi Road",108,Senthil,1.32,5,8,0,1
1073,"2025-01-01 05:27:00",2,Normal,6,Singanallur,105,Prakash,2.89,4,8,0,1
1074,"2025-01-01 18:06:00",3,Normal,3,"Saibaba Colony",104,Vignesh,5.17,5,11,1,1
1075,"2025-01-01 16:18:00",7,Rain,5,Ukkadam,103,Karthikeyan,4.1,5,9,0,1
1076,"2025-01-01 11:54:00",7,Rain,8,"Avinashi Road",102,Suresh,4.36,5,17,0,0
1077,"2025-01-01 13:07:00",4,Normal,6,Singanallur,106,Manikandan,5.66,5,13,0,1
1078,"2025-01-01 06:59:00",2,Normal,5,Ukkadam,105,Prakash,5.08,5,7,0,1
1079,"2025-01-01 17:52:00",8,Normal,3,"Saibaba Colony",107,Ramesh,4.73,6,14,0,1
1080,"2025-01-01 10:58:00",4,Normal,8,"Avinashi Road",106,Manikandan,5.5,6,9,0,1
1081,"2025-01-01 23:51:00",8,Normal,2,"RS Puram",103,Karthikeyan,5.44,6,6,0,1
1082,"2025-01-01 09:47:00",2,Normal,7,Saravanampatti,106,Manikandan,1.94,4,8,0,1
1083,"2025-01-01 20:55:00",8,Rain,6,Singanallur,102,Suresh,2.85,7,15,1,1
1084,"2025-01-01 22:37:00",5,Rain,3,"Saibaba Colony",105,Prakash,2.48,4,9,1,1
1085,"2025-01-01 21:20:00",4,Normal,6,Singanallur,108,Senthil,3.44,4,9,1,1
1086,"2025-01-01 20:30:00",2,Normal,3,"Saibaba Colony",104,Vignesh,3.96,3,13,1,1
1087,"2025-01-01 10:29:00",4,Normal,5,Ukkadam,105,Prakash,5.13,6,7,0,1
1088,"2025-01-01 07:36:00",8,Normal,8,"Avinashi Road",110,Naveen,1.75,4,9,0,1
1089,"2025-01-01 12:41:00",8,Normal,1,Gandhipuram,103,Karthikeyan,3.05,7,11,0,1
1090,"2025-01-01 13:20:00",5,Normal,4,Peelamedu,109,Muthukumar,3.76,3,11,0,1
1091,"2025-01-01 10:24:00",6,Rain,7,Saravanampatti,106,Manikandan,3.8,3,13,0,1
1092,"2025-01-01 13:43:00",6,Normal,4,Peelamedu,105,Prakash,5.8,6,12,0,1
1093,"2025-01-01 19:57:00",7,Normal,1,Gandhipuram,109,Muthukumar,3.86,6,11,1,1
1094,"2025-01-01 12:44:00",6,Normal,6,Singanallur,104,Vignesh,2.73,5,14,0,1
1095,"2025-01-01 17:58:00",2,Normal,1,Gandhipuram,106,Manikandan,3.87,3,11,0,1
1096,"2025-01-01 06:18:00",2,Normal,7,Saravanampatti,106,Manikandan,3.61,3,9,0,1
1097,"2025-01-01 10:45:00",1,Normal,1,Gandhipuram,108,Senthil,2.47,4,7,0,1
1098,"2025-01-01 12:33:00",6,Rain,3,"Saibaba Colony",105,Prakash,3.78,3,16,0,0
1099,"2025-01-01 15:30:00",8,Normal,6,Singanallur,106,Manikandan,3.32,4,8,0,1
1100,"2025-01-01 17:03:00",6,Normal,2,"RS Puram",102,Suresh,5.56,4,10,0,1
1101,"2025-01-01 08:35:00",5,Normal,5,Ukkadam,102,Suresh,5.45,6,6,0,1
1102,"2025-01-01 18:43:00",3,Normal,6,Singanallur,109,Muthukumar,4.76,4,15,1,1
1103,"2025-01-01 12:38:00",7,Normal,7,Saravanampatti,104,Vignesh,2.85,3,14,0,1
1104,"2025-01-01 15:11:00",2,Normal,4,Peelamedu,101,"Arun Kumar",1.37,2,6,0,1
1105,"2025-01-01 08:10:00",1,Normal,6,Singanallur,104,Vignesh,5.64,4,9,0,1
1106,"2025-01-01 11:03:00",3,Normal,3,"Saibaba Colony",107,Ramesh,2.02,2,13,0,1
1107,"2025-01-01 21:50:00",3,Normal,5,Ukkadam,108,Senthil,3.99,4,5,1,1
1108,"2025-01-01 22:07:00",5,Normal,8,"Avinashi Road",107,Ramesh,1.62,5,9,1,1
1109,"2025-01-01 22:17:00",2,Normal,5,Ukkadam,109,Muthukumar,4.54,3,5,1,1
1110,"2025-01-01 15:28:00",6,Normal,1,Gandhipuram,105,Prakash,1.97,6,5,0,1
1111,"2025-01-01 18:04:00",4,Rain,3,"Saibaba Colony",105,Prakash,4.58,4,16,1,0
1112,"2025-01-01 19:10:00",7,Normal,6,Singanallur,106,Manikandan,5.63,6,15,1,1
1113,"2025-01-01 02:00:00",7,Normal,7,Saravanampatti,107,Ramesh,3.5,6,8,0,1
1114,"2025-01-01 20:25:00",4,Normal,6,Singanallur,103,Karthikeyan,1.22,4,14,1,1
1115,"2025-01-01 22:13:00",2,Rain,6,Singanallur,107,Ramesh,4.18,2,12,1,1
1116,"2025-01-01 17:04:00",4,Normal,8,"Avinashi Road",104,Vignesh,5.85,3,14,0,1
1117,"2025-01-01 21:41:00",3,Normal,3,"Saibaba Colony",110,Naveen,4.68,4,5,1,1
1118,"2025-01-01 11:42:00",1,Normal,6,Singanallur,107,Ramesh,2.06,4,11,0,1
1119,"2025-01-01 21:44:00",5,Normal,4,Peelamedu,104,Vignesh,4.97,3,6,1,1
1120,"2025-01-01 11:17:00",1,Normal,5,Ukkadam,108,Senthil,4.45,3,12,0,1
1121,"2025-01-01 11:16:00",7,Normal,7,Saravanampatti,108,Senthil,1.72,6,16,0,0
1122,"2025-01-01 10:57:00",7,Normal,6,Singanallur,109,Muthukumar,2.73,5,9,0,1
1123,"2025-01-01 09:37:00",7,Normal,2,"RS Puram",103,Karthikeyan,4.21,4,5,0,1
1124,"2025-01-01 12:45:00",1,Normal,7,Saravanampatti,104,Vignesh,5.1,3,13,0,1
1125,"2025-01-01 14:03:00",2,Normal,6,Singanallur,107,Ramesh,5.16,4,7,0,1
1126,"2025-01-01 11:09:00",7,Normal,3,"Saibaba Colony",106,Manikandan,2.61,3,11,0,1
1127,"2025-01-01 13:50:00",1,Normal,8,"Avinashi Road",110,Naveen,2.94,3,15,0,1
1128,"2025-01-01 19:44:00",3,Normal,5,Ukkadam,103,Karthikeyan,2.04,2,10,1,1
1129,"2025-01-01 08:58:00",8,Normal,7,Saravanampatti,109,Muthukumar,5.56,4,9,0,1
1130,"2025-01-01 15:23:00",2,Normal,6,Singanallur,107,Ramesh,1.54,2,9,0,1
1131,"2025-01-01 05:50:00",3,Normal,8,"Avinashi Road",105,Prakash,5.19,2,10,0,1
1132,"2025-01-01 10:18:00",2,Normal,6,Singanallur,109,Muthukumar,2.63,3,9,0,1
1133,"2025-01-01 17:03:00",8,Normal,1,Gandhipuram,108,Senthil,5.6,6,9,0,1
1134,"2025-01-01 23:05:00",1,Normal,5,Ukkadam,103,Karthikeyan,5.65,2,5,0,1
1135,"2025-01-01 22:57:00",8,Normal,2,"RS Puram",104,Vignesh,1.24,5,6,1,1
1136,"2025-01-01 20:56:00",2,Normal,6,Singanallur,107,Ramesh,1.97,5,17,1,0
1137,"2025-01-01 11:26:00",6,Normal,5,Ukkadam,104,Vignesh,3.39,4,13,0,1
1138,"2025-01-01 11:24:00",6,Normal,3,"Saibaba Colony",102,Suresh,1.75,4,13,0,1
1139,"2025-01-01 19:43:00",7,Normal,8,"Avinashi Road",103,Karthikeyan,1.6,3,14,1,1
1140,"2025-01-01 13:35:00",7,Normal,2,"RS Puram",107,Ramesh,1.48,5,10,0,1
1141,"2025-01-01 17:13:00",7,Normal,8,"Avinashi Road",103,Karthikeyan,5.95,3,14,0,1
1142,"2025-01-01 09:23:00",6,Normal,8,"Avinashi Road",105,Prakash,3.57,4,8,0,1
1143,"2025-01-01 21:25:00",3,Rain,3,"Saibaba Colony",104,Vignesh,1.35,3,9,1,1
1144,"2025-01-01 05:35:00",5,Normal,5,Ukkadam,101,"Arun Kumar",3.32,5,5,0,1
1145,"2025-01-01 15:49:00",7,Normal,3,"Saibaba Colony",101,"Arun Kumar",3.08,6,7,0,1
1146,"2025-01-01 11:34:00",4,Normal,7,Saravanampatti,109,Muthukumar,1.38,4,15,0,1
1147,"2025-01-01 21:19:00",6,Rain,5,Ukkadam,104,Vignesh,3.13,4,11,1,1
1148,"2025-01-01 05:06:00",6,Normal,4,Peelamedu,108,Senthil,1.44,3,5,0,1
1149,"2025-01-01 18:36:00",8,Normal,6,Singanallur,103,Karthikeyan,1.53,5,13,1,1
1150,"2025-01-01 14:48:00",1,Normal,7,Saravanampatti,102,Suresh,5.15,4,9,0,1
1151,"2025-01-01 17:11:00",8,Normal,8,"Avinashi Road",103,Karthikeyan,2.18,7,12,0,1
1152,"2025-01-01 08:33:00",4,Normal,8,"Avinashi Road",102,Suresh,4.65,3,9,0,1
1153,"2025-01-01 14:23:00",7,Normal,3,"Saibaba Colony",107,Ramesh,4.28,4,7,0,1
1154,"2025-01-01 17:19:00",3,Normal,7,Saravanampatti,110,Naveen,2.18,3,12,0,1
1155,"2025-01-01 07:49:00",1,Normal,6,Singanallur,110,Naveen,5.78,2,9,0,1
1156,"2025-01-01 13:21:00",7,Normal,6,Singanallur,104,Vignesh,5.45,3,15,0,1
1157,"2025-01-01 11:17:00",2,Normal,2,"RS Puram",106,Manikandan,2.24,3,10,0,1
1158,"2025-01-01 11:50:00",3,Normal,3,"Saibaba Colony",108,Senthil,5.18,5,12,0,1
1159,"2025-01-01 21:19:00",1,Normal,8,"Avinashi Road",101,"Arun Kumar",2.92,3,9,1,1
1160,"2025-01-01 09:24:00",1,Normal,3,"Saibaba Colony",102,Suresh,3.65,2,5,0,1
1161,"2025-01-01 09:47:00",6,Rain,7,Saravanampatti,102,Suresh,4.38,5,12,0,1
1162,"2025-01-01 19:57:00",5,Normal,5,Ukkadam,102,Suresh,5.04,4,11,1,1
1163,"2025-01-01 08:23:00",8,Normal,4,Peelamedu,110,Naveen,4.76,7,7,0,1
1164,"2025-01-01 10:25:00",5,Normal,6,Singanallur,103,Karthikeyan,2.02,3,8,0,1
1165,"2025-01-01 19:15:00",4,Normal,7,Saravanampatti,104,Vignesh,4.05,6,13,1,1
1166,"2025-01-01 20:53:00",2,Normal,1,Gandhipuram,101,"Arun Kumar",4.51,3,11,1,1
1167,"2025-01-01 23:21:00",7,Normal,5,Ukkadam,109,Muthukumar,5.71,3,5,0,1
1168,"2025-01-01 09:12:00",1,Normal,2,"RS Puram",104,Vignesh,4.67,4,6,0,1
1169,"2025-01-01 23:16:00",5,Normal,2,"RS Puram",103,Karthikeyan,2.07,4,7,0,1
1170,"2025-01-01 23:36:00",5,Normal,5,Ukkadam,105,Prakash,3.1,5,7,0,1
1171,"2025-01-01 07:04:00",1,Rain,2,"RS Puram",110,Naveen,4.88,4,9,0,1
1172,"2025-01-01 14:23:00",4,Normal,5,Ukkadam,108,Senthil,2.47,6,6,0,1
1173,"2025-01-01 10:59:00",6,Normal,1,Gandhipuram,106,Manikandan,3.05,3,7,0,1
1174,"2025-01-01 19:42:00",3,Normal,2,"RS Puram",108,Senthil,4.83,5,11,1,1
1175,"2025-01-01 20:33:00",8,Normal,5,Ukkadam,110,Naveen,2.85,6,10,1,1
1176,"2025-01-01 05:38:00",4,Normal,6,Singanallur,108,Senthil,3.61,6,10,0,1
1177,"2025-01-01 20:09:00",5,Normal,7,Saravanampatti,103,Karthikeyan,5.19,4,13,1,1
1178,"2025-01-01 15:12:00",2,Normal,4,Peelamedu,101,"Arun Kumar",5.53,5,5,0,1
1179,"2025-01-01 08:14:00",4,Normal,5,Ukkadam,106,Manikandan,4.57,5,6,0,1
1180,"2025-01-01 13:55:00",3,Normal,5,Ukkadam,108,Senthil,3.73,4,11,0,1
1181,"2025-01-01 18:21:00",8,Normal,1,Gandhipuram,108,Senthil,4.15,5,10,1,1
1182,"2025-01-01 20:43:00",1,Rain,3,"Saibaba Colony",107,Ramesh,4.62,3,15,1,1
1183,"2025-01-01 13:36:00",3,Normal,6,Singanallur,105,Prakash,4.85,2,14,0,1
1184,"2025-01-01 11:20:00",3,Normal,3,"Saibaba Colony",110,Naveen,2.86,4,12,0,1
1185,"2025-01-01 08:57:00",5,Normal,6,Singanallur,107,Ramesh,1.68,3,10,0,1
1186,"2025-01-01 09:53:00",2,Normal,2,"RS Puram",106,Manikandan,2.33,5,6,0,1
1187,"2025-01-01 08:13:00",3,Normal,4,Peelamedu,104,Vignesh,3.69,3,5,0,1
1188,"2025-01-01 14:59:00",1,Normal,2,"RS Puram",101,"Arun Kumar",4.62,4,7,0,1
1189,"2025-01-01 07:08:00",1,Normal,4,Peelamedu,108,Senthil,1.27,4,6,0,1
1190,"2025-01-01 05:11:00",1,Normal,3,"Saibaba Colony",109,Muthukumar,4.09,4,7,0,1
1191,"2025-01-01 17:33:00",1,Normal,2,"RS Puram",103,Karthikeyan,2.23,4,13,0,1
1192,"2025-01-01 08:50:00",7,Rain,8,"Avinashi Road",101,"Arun Kumar",2.83,6,11,0,1
1193,"2025-01-01 19:40:00",1,Normal,2,"RS Puram",102,Suresh,1.35,2,13,1,1
1194,"2025-01-01 13:11:00",3,Normal,1,Gandhipuram,107,Ramesh,4.62,4,13,0,1
1195,"2025-01-01 15:46:00",7,Normal,1,Gandhipuram,109,Muthukumar,2.42,4,5,0,1
1196,"2025-01-01 05:54:00",1,Normal,8,"Avinashi Road",101,"Arun Kumar",1.88,2,9,0,1
1197,"2025-01-01 22:04:00",8,Normal,3,"Saibaba Colony",108,Senthil,2.37,5,7,1,1
1198,"2025-01-01 18:11:00",5,Normal,1,Gandhipuram,109,Muthukumar,2.07,4,11,1,1
1199,"2025-01-01 16:29:00",6,Rain,4,Peelamedu,105,Prakash,5.97,6,11,0,1
1200,"2025-01-01 11:26:00",7,Normal,5,Ukkadam,108,Senthil,5.21,4,13,0,1
1201,"2025-01-01 13:22:00",1,Normal,4,Peelamedu,105,Prakash,3.13,3,10,0,1
1202,"2025-01-01 05:59:00",2,Normal,8,"Avinashi Road",109,Muthukumar,2.98,3,8,0,1
1203,"2025-01-01 09:46:00",3,Normal,7,Saravanampatti,105,Prakash,4.85,4,10,0,1
1204,"2025-01-01 21:36:00",1,Normal,2,"RS Puram",108,Senthil,1.37,5,5,1,1
1205,"2025-01-01 20:16:00",4,Normal,4,Peelamedu,109,Muthukumar,1.99,4,11,1,1
1206,"2025-01-01 18:48:00",6,Normal,5,Ukkadam,106,Manikandan,5.53,6,10,1,1
1207,"2025-01-01 17:41:00",3,Normal,8,"Avinashi Road",107,Ramesh,3.03,4,16,0,0
1208,"2025-01-01 15:35:00",5,Normal,6,Singanallur,109,Muthukumar,4.77,4,10,0,1
1209,"2025-01-01 18:21:00",8,Normal,7,Saravanampatti,110,Naveen,5.2,5,15,1,1
1210,"2025-01-01 08:59:00",1,Rain,8,"Avinashi Road",104,Vignesh,3.69,5,13,0,1
1211,"2025-01-01 15:42:00",8,Normal,2,"RS Puram",110,Naveen,4.07,5,6,0,1
1212,"2025-01-01 13:53:00",7,Normal,7,Saravanampatti,107,Ramesh,2.56,5,14,0,1
1213,"2025-01-01 17:54:00",1,Normal,8,"Avinashi Road",104,Vignesh,2.87,4,16,0,0
1214,"2025-01-01 06:34:00",8,Normal,3,"Saibaba Colony",110,Naveen,1.53,4,7,0,1
1215,"2025-01-01 08:39:00",4,Normal,1,Gandhipuram,110,Naveen,2.38,6,7,0,1
1216,"2025-01-01 09:36:00",7,Normal,8,"Avinashi Road",108,Senthil,2.51,3,8,0,1
1217,"2025-01-01 08:43:00",4,Normal,7,Saravanampatti,105,Prakash,4.29,6,8,0,1
1218,"2025-01-01 09:45:00",4,Rain,3,"Saibaba Colony",109,Muthukumar,4.45,4,8,0,1
1219,"2025-01-01 20:16:00",4,Normal,7,Saravanampatti,102,Suresh,2.05,4,13,1,1
1220,"2025-01-01 19:02:00",8,Normal,2,"RS Puram",108,Senthil,2.53,4,13,1,1
1221,"2025-01-01 09:10:00",4,Normal,1,Gandhipuram,105,Prakash,2.02,6,7,0,1
1222,"2025-01-01 17:57:00",5,Normal,2,"RS Puram",106,Manikandan,2.56,5,11,0,1
1223,"2025-01-01 11:41:00",5,Normal,8,"Avinashi Road",103,Karthikeyan,3.96,4,16,0,0
1224,"2025-01-01 17:09:00",6,Normal,5,Ukkadam,109,Muthukumar,1.35,5,12,0,1
1225,"2025-01-01 16:53:00",2,Rain,1,Gandhipuram,104,Vignesh,1.25,3,9,0,1
1226,"2025-01-01 08:09:00",6,Normal,3,"Saibaba Colony",104,Vignesh,4.95,4,7,0,1
1227,"2025-01-01 11:23:00",5,Normal,1,Gandhipuram,102,Suresh,2.31,4,13,0,1
1228,"2025-01-01 10:45:00",6,Normal,8,"Avinashi Road",102,Suresh,4.02,3,7,0,1
1229,"2025-01-01 19:56:00",3,Normal,7,Saravanampatti,109,Muthukumar,2.59,2,15,1,1
1230,"2025-01-01 09:22:00",2,Normal,1,Gandhipuram,109,Muthukumar,2.95,5,6,0,1
1231,"2025-01-01 20:45:00",8,Normal,2,"RS Puram",104,Vignesh,5.68,4,12,1,1
1232,"2025-01-01 17:49:00",7,Normal,5,Ukkadam,107,Ramesh,3.02,6,10,0,1
1233,"2025-01-01 20:56:00",1,Normal,8,"Avinashi Road",105,Prakash,3.89,5,15,1,1
1234,"2025-01-01 18:20:00",3,Rain,1,Gandhipuram,104,Vignesh,3.2,2,13,1,1
1235,"2025-01-01 06:06:00",1,Normal,1,Gandhipuram,103,Karthikeyan,5.07,5,7,0,1
1236,"2025-01-01 17:52:00",1,Normal,5,Ukkadam,110,Naveen,2.17,3,12,0,1
1237,"2025-01-01 12:45:00",4,Normal,3,"Saibaba Colony",102,Suresh,3.17,4,12,0,1
1238,"2025-01-01 06:55:00",8,Rain,5,Ukkadam,102,Suresh,2.43,5,10,0,1
1239,"2025-01-01 21:39:00",3,Normal,7,Saravanampatti,103,Karthikeyan,5.78,2,10,1,1
1240,"2025-01-01 16:45:00",3,Normal,1,Gandhipuram,103,Karthikeyan,4.22,5,6,0,1
1241,"2025-01-01 19:07:00",1,Normal,8,"Avinashi Road",109,Muthukumar,2.94,2,13,1,1
1242,"2025-01-01 21:18:00",7,Normal,5,Ukkadam,103,Karthikeyan,3.95,4,5,1,1
1243,"2025-01-01 22:39:00",4,Normal,6,Singanallur,103,Karthikeyan,3.73,3,10,1,1
1244,"2025-01-01 08:51:00",1,Normal,4,Peelamedu,104,Vignesh,2.93,3,6,0,1
1245,"2025-01-01 23:00:00",1,Normal,6,Singanallur,101,"Arun Kumar",1.38,2,9,0,1
1246,"2025-01-01 13:31:00",4,Normal,7,Saravanampatti,103,Karthikeyan,1.69,5,12,0,1
1247,"2025-01-01 20:11:00",5,Normal,2,"RS Puram",107,Ramesh,5.66,5,10,1,1
1248,"2025-01-01 20:43:00",5,Rain,7,Saravanampatti,110,Naveen,3,5,17,1,0
1249,"2025-01-01 21:35:00",6,Normal,7,Saravanampatti,109,Muthukumar,5.71,3,9,1,1
1250,"2025-01-01 22:12:00",4,Normal,4,Peelamedu,105,Prakash,4.95,6,7,1,1
1251,"2025-01-01 23:33:00",8,Normal,6,Singanallur,107,Ramesh,4.71,6,8,0,1
1252,"2025-01-01 06:12:00",1,Rain,1,Gandhipuram,104,Vignesh,1.82,3,8,0,1
1253,"2025-01-01 21:12:00",2,Rain,4,Peelamedu,110,Naveen,4.31,3,9,1,1
1254,"2025-01-01 20:50:00",8,Normal,1,Gandhipuram,106,Manikandan,1.89,4,10,1,1
1255,"2025-01-01 11:41:00",3,Rain,6,Singanallur,105,Prakash,5.7,5,17,0,0
1256,"2025-01-01 09:00:00",1,Normal,8,"Avinashi Road",104,Vignesh,1.33,5,10,0,1
1257,"2025-01-01 14:54:00",3,Rain,8,"Avinashi Road",107,Ramesh,2.99,3,13,0,1
1258,"2025-01-01 17:30:00",1,Normal,8,"Avinashi Road",103,Karthikeyan,4.04,5,17,0,0
1259,"2025-01-01 16:33:00",7,Normal,4,Peelamedu,101,"Arun Kumar",3.37,6,5,0,1
1260,"2025-01-01 20:22:00",2,Normal,7,Saravanampatti,102,Suresh,5.5,4,17,1,0
